Group	ROI	12C	13C	14N_12C	15N_12C	31P	32S	34S	SE	Ratio_15N_12Cx14N_12C	filename	sample	layer	atom % N15	notes	N_source	light	incubation_time_hr	cell_type	cell_type_other	mu_d	gen_d	median_mu_d	median_gen_d
red	0	343401	3498	1157118	131797	3846	82222	3628	1255979	0.1022542215739595	GB21_D2_NH4_dark_chainovernight_12_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	NH4	dark	96	Picocystis	Picocystis	0.055372104095363084	12.51798521808367	0.014465386985322987	47.9942708181639
red	0	292445	3084	1522924	79392	3512	143773	6305	1559773	0.04954827886634097	GB21_D2_NH4_dark_chainovernight_14_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	NH4	dark	96	Picocystis	Picocystis	0.024262641473931392	28.568496192167956	0.014465386985322987	47.9942708181639
red	0	174096	1736	1770370	34159	2411	97488	4235	1436101	0.01892959326228617	GB21_D2_NH4_dark_chainovernight_15_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	NH4	dark	96	Picocystis	Picocystis	0.007821958689615065	88.61555117648626	0.014465386985322987	47.9942708181639
red	0	864736	8757	5994920	448643	14011	586591	25957	5132271	0.06962654047147518	GB21_D2_NH4_dark_chainovernight_16_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	NH4	dark	96	Picocystis	Picocystis	0.03566203190609899	19.43655881372822	0.014465386985322987	47.9942708181639
red	0	399489	4102	2518588	16245	5792	155925	6976	2133614	0.006408706214571137	GB21_D2_NH4_dark_chainovernight_17_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	NH4	dark	96	Picocystis	Picocystis	0.0013984089172183341	495.6684500687605	0.014465386985322987	47.9942708181639
red	0	1083360	11129	2850386	212558	12627	314507	13742	2354507	0.06939663278205543	GB21_D2_NH4_dark_chainovernight_18_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	NH4	dark	96	Picocystis	Picocystis	0.03552851629467822	19.50960109932232	0.014465386985322987	47.9942708181639
red	0	696485	7008	2250145	117384	6383	227390	10069	1742959	0.049580807669092966	GB21_D2_NH4_dark_chainovernight_19_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	NH4	dark	96	Picocystis	Picocystis	0.024280695560415906	28.547253880566853	0.014465386985322987	47.9942708181639
red	0	1803886	18783	4594889	107302	40345	584158	26139	2838603	0.022819574959843186	GB21_D2_NH4_dark_chainovernight_2_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	NH4	dark	96	Picocystis	Picocystis	0.009851700244082868	70.3581273675337	0.014465386985322987	47.9942708181639
red	0	1255289	13024	2774990	93593	14244	394440	17889	2386690	0.032626910220133074	GB21_D2_NH4_dark_chainovernight_20_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	NH4	dark	96	Picocystis	Picocystis	0.01504340593566946	46.07647919121973	0.014465386985322987	47.9942708181639
red	0	1076575	11236	2274458	14006	13555	253391	11190	2011187	0.006120262324423718	GB21_D2_NH4_dark_chainovernight_21_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	NH4	dark	96	Picocystis	Picocystis	0.0012523570892855065	553.4740741998745	0.014465386985322987	47.9942708181639
red	0	2260499	23647	2545013	13216	41595	651908	29493	2839000	0.005166073873761888	GB21_D2_NH4_dark_chainovernight_22_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	NH4	dark	96	Picocystis	Picocystis	7.6981660166318e-4	900.4056018828494	0.014465386985322987	47.9942708181639
red	0	1804505	18532	3579540	126768	22151	524615	23693	2772163	0.03420330960082109	GB21_D2_NH4_dark_chainovernight_23_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	NH4	dark	96	Picocystis	Picocystis	0.015888054419636467	43.62693897267033	0.014465386985322987	47.9942708181639
red	0	2827989	29704	3901895	55910	64733	577810	25927	4215739	0.014126517097229398	GB21_D2_NH4_dark_chainovernight_3_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	NH4	dark	96	Picocystis	Picocystis	0.005338300785307704	129.8441598621895	0.014465386985322987	47.9942708181639
red	0	98421	991	1518671	233645	912	61552	2701	1096681	0.13333496926353466	GB21_D2_NH4_dark_chainovernight_4_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	NH4	dark	96	Picocystis	Picocystis	0.0757131903564604	9.15490652680971	0.014465386985322987	47.9942708181639
red	0	575353	5920	2779509	14832	6193	195553	8670	2401633	0.005307870442440633	GB21_D2_NH4_dark_chainovernight_5_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	NH4	dark	96	Picocystis	Picocystis	8.414653312922924e-4	823.7382513376215	0.014465386985322987	47.9942708181639
red	0	179689	1849	991386	16011	2072	77823	3522	740962	0.015893436252043633	GB21_D2_NH4_dark_chainovernight_6_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	NH4	dark	96	Picocystis	Picocystis	0.006249103597836168	110.91945744025692	0.014465386985322987	47.9942708181639
red	0	894888	9107	2980589	45000	9827	286557	12727	2055844	0.014873137098264173	GB21_D2_NH4_dark_chainovernight_7_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	NH4	dark	96	Picocystis	Picocystis	0.005722760044979214	121.12113300435662	0.014465386985322987	47.9942708181639
red	0	460760	4746	1427198	118597	4288	134281	5939	1944723	0.07672233381528598	GB21_D2_NH4_dark_chainovernight_8_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	NH4	dark	96	Picocystis	Picocystis	0.03981827124246741	17.407766809842876	0.014465386985322987	47.9942708181639
red	0	702487	7282	1653367	51945	12459	168137	7389	1824609	0.030460701619410408	GB21_D2_NH4_dark_chainovernight_9_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	NH4	dark	96	Picocystis	Picocystis	0.013887368034976514	49.912062445108056	0.014465386985322987	47.9942708181639
red	0	1275044	12841	684689	6522	709	48053	2135	7098571	0.009435613727212095	GB21_D2-1_CN_dark_A_1.im_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	CN	dark	96	Picocystis	Picocystis	0.0029362332261301184	236.0667995959898	1.9917134100627345e-4	826.9500060924868
red	1	270272	2694	456159	2462	162	17458	726	4426993	0.00536826704402982	GB21_D2-1_CN_dark_A_1.im_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	CN	dark	96	Picocystis	Picocystis	8.719895124794054e-4	794.9031159664504	1.9917134100627345e-4	826.9500060924868
green	0	2267500	22887	1667724	12684	2046	209316	9132	11672618	0.00754816687375923	GB21_D2-1_CN_dark_A_1.im_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	CN	dark	96	Picocystis triplet	Picocystis	0.0019762037089958557	350.74682706275547	1.9917134100627345e-4	826.9500060924868
blue	0	152168	1737	27279	111	3	447	17	350273	0.0040525739320920046	GB21_D2-1_CN_dark_A_1.im_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	CN	dark	96	Other	Other	2.0788615756927957e-4	3334.263274979956	1.9917134100627345e-4	826.9500060924868
blue	1	139886	1451	17851	71	16	9926	413	243883	0.003961611427296061	GB21_D2-1_CN_dark_A_1.im_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	CN	dark	96	Other	Other	1.6203746512408732e-4	4277.697013028051	1.9917134100627345e-4	826.9500060924868
blue	0	924957	9619	9485	35	8	865	40	1928920	0.003676470588235294	GB21_D2-1_CN_dark_B_1.im_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	CN	dark	96	Other	Other	1.836969546241499e-5	37733.1884449662	1.9917134100627345e-4	826.9500060924868
blue	1	726484	7655	9732	40	10	775	32	1180141	0.004093327875562832	GB21_D2-1_CN_dark_B_1.im_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	CN	dark	96	Other	Other	2.2843048136047585e-4	3034.390053515323	1.9917134100627345e-4	826.9500060924868
blue	2	1383323	14622	55734	219	56	2440	111	2402865	0.003913999249370007	GB21_D2-1_CN_dark_B_1.im_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	CN	dark	96	Other	Other	1.3804240035452078e-4	5021.2628785054685	1.9917134100627345e-4	826.9500060924868
blue	3	1076667	11348	49503	207	65	1911	104	1814774	0.004164152082076041	GB21_D2-1_CN_dark_B_1.im_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	CN	dark	96	Other	Other	2.641374341240675e-4	2624.191390586343	1.9917134100627345e-4	826.9500060924868
blue	4	548341	5730	14956	54	10	778	46	1229615	0.003597601598934044	GB21_D2-1_CN_dark_B_1.im_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	CN	dark	96	Other	Other	0	0	1.9917134100627345e-4	826.9500060924868
blue	5	157713	1689	1315	5	7	139	6	230125	0.003787878787878788	GB21_D2-1_CN_dark_B_1.im_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	CN	dark	96	Other	Other	7.449271736162268e-5	9304.898587536858	1.9917134100627345e-4	826.9500060924868
blue	6	380326	3949	2525	15	11	309	14	519984	0.005905511811023622	GB21_D2-1_CN_dark_B_1.im_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	CN	dark	96	Other	Other	0.0011436748427449464	606.0701474348384	1.9917134100627345e-4	826.9500060924868
red	0	242562	2480	2107726	8503	652	37364	1670	1594959	0.004017996	GB21_D2-1_CN_dark_C_1.im_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	CN	dark	96	Picocystis	Picocystis	1.9045652444326736e-4	3639.398453721222	1.9917134100627345e-4	826.9500060924868
red	0	303663	3042	551346	3141	367	50267	2193	1606469	0.005664695475277148	GB21_D2-1_CN_dark_chain1_1.im_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	CN	dark	96	Picocystis	Picocystis	0.0010218572173119472	678.320971674798	1.9917134100627345e-4	826.9500060924868
blue	0	89513	924	55150	203	4	523	17	257618	0.003667371235524723	GB21_D2-1_CN_dark_chain1_2.im_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	CN	dark	96	Other	Other	1.3786359815010418e-5	50277.75205788951	1.9917134100627345e-4	826.9500060924868
blue	1	89090	895	73288	287	0	2276	107	222380	0.0039007815154604147	GB21_D2-1_CN_dark_chain1_2.im_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	CN	dark	96	Other	Other	1.3138147976521654e-4	5275.836303553777	1.9917134100627345e-4	826.9500060924868
red	0	6862048	71407	1343901	6294	3193	160634	7131	14610780	0.004661548887382933	GB21_D2-1_CN_dark_chain1_3.im_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	CN	dark	96	Picocystis	Picocystis	5.15050339930055e-4	1345.785308391557	1.9917134100627345e-4	826.9500060924868
blue	0	143204	1555	16745	58	41	2450	77	243294	0.0034517645658513362	GB21_D2-1_CN_dark_chain1_4.im_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	CN	dark	96	Other	Other	0	0	1.9917134100627345e-4	826.9500060924868
blue	1	146879	1524	2132	6	3	250	10	288981	0.002806361085126286	GB21_D2-1_CN_dark_chain1_4.im_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	CN	dark	96	Other	Other	0	0	1.9917134100627345e-4	826.9500060924868
red	0	108912	1067	8838	34	1	206	11	1723097	0.003832281334535618	GB21_D2-1_CN_dark_chain1_5.im_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	CN	dark	96	Picocystis	Picocystis	9.686446701944566e-5	7155.84570780527	1.9917134100627345e-4	826.9500060924868
blue	0	29996	306	347	0	0	37	2	124124	0	GB21_D2-1_CN_dark_chain1_5.im_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	CN	dark	96	Other	Other	0	0	1.9917134100627345e-4	826.9500060924868
blue	1	17079	165	699	2	0	34	2	77326	0.0028530670470756064	GB21_D2-1_CN_dark_chain1_5.im_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	CN	dark	96	Other	Other	0	0	1.9917134100627345e-4	826.9500060924868
blue	2	19248	188	523	4	0	32	2	201059	0.007590132827324478	GB21_D2-1_CN_dark_chain1_5.im_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	CN	dark	96	Other	Other	0.001997509214925204	347.0057486497753	1.9917134100627345e-4	826.9500060924868
blue	3	13115	129	1329	7	1	46	2	119241	0.005239520958083832	GB21_D2-1_CN_dark_chain1_5.im_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	CN	dark	96	Other	Other	8.069262922966525e-4	858.9968962185231	1.9917134100627345e-4	826.9500060924868
red	0	2987717	31733	61307	352	1524	13248	621	3898936	0.005708817853030377	GB21_D2-1_CN_dark_chain2_1.im_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	CN	dark	96	Picocystis	Picocystis	0.001044172206024754	663.8245842597279	1.9917134100627345e-4	826.9500060924868
blue	0	194643	2085	1188	8	19	658	33	219672	0.006688963210702341	GB21_D2-1_CN_dark_chain2_1.im_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	CN	dark	96	Other	Other	0.0015403971337734305	449.97953148742806	1.9917134100627345e-4	826.9500060924868
blue	1	322803	3361	48181	187	64	4163	203	452308	0.0038661925239827986	GB21_D2-1_CN_dark_chain2_1.im_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	CN	dark	96	Other	Other	1.1395160664738666e-4	6082.820602124803	1.9917134100627345e-4	826.9500060924868
red	0	4948334	51434	7258628	61328	53917	881363	39352	8314963	0.0083781924372223	GB21_D2-1_CN_dark_chain2_2.im_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	CN	dark	96	Picocystis	Picocystis	0.0023979332046233396	289.0602537316392	1.9917134100627345e-4	826.9500060924868
red	1	3330000	34760	9520000	38146	41790	1000000	45186	4770000	0.0039918	GB21_D2-2_TMACH3OH_dark_A_1.tsv	NA	NA	NA	NA	TMA	dark	96	Picocystis	Picocystis	1.7725276502077414e-4	3910.501370620131	1.7962169991747612e-4	3859.5991735377274
red	2	1930000	19907	6640000	26318	36789	540000	23849	3840000	0.0039498	GB21_D2-2_TMACH3OH_dark_A_1.tsv	NA	NA	NA	NA	TMA	dark	96	Picocystis	Picocystis	1.5608465635646844e-4	4440.841250769234	1.7962169991747612e-4	3859.5991735377274
red	3	3710000	39049	9940000	39920	41464	1280000	57802	5610000	0.0040015	GB21_D2-2_TMACH3OH_dark_A_1.tsv	NA	NA	NA	NA	TMA	dark	96	Picocystis	Picocystis	1.821418449031597e-4	3805.53508134539	1.7962169991747612e-4	3859.5991735377274
red	4	2090000	21618	5480000	21798	25149	589000	25889	3660000	0.0039616	GB21_D2-2_TMACH3OH_dark_A_1.tsv	NA	NA	NA	NA	TMA	dark	96	Picocystis	Picocystis	1.6203170584408759e-4	4277.849060151938	1.7962169991747612e-4	3859.5991735377274
red	5	1640000	17448	6050000	24831	25992	230000	10109	2660000	0.0040889	GB21_D2-2_TMACH3OH_dark_A_1.tsv	NA	NA	NA	NA	TMA	dark	96	Picocystis	Picocystis	2.2619827919224492e-4	3064.3344548648956	1.7962169991747612e-4	3859.5991735377274
red	6	2080000	22178	6530000	26232	24379	263000	11587	2840000	0.0040012	GB21_D2-2_TMACH3OH_dark_A_1.tsv	NA	NA	NA	NA	TMA	dark	96	Picocystis	Picocystis	1.8199063481417812e-4	3808.696976455324	1.7962169991747612e-4	3859.5991735377274
red	0	5797423	62566	4069988	21970	110223	706077	31297	4688153	0.005369067815456562	GB21_D3_gly_dark_A_1.im_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	gly	dark	96	Picocystis	Picocystis	8.72394243929878e-4	794.534335116108	0.0011777839674600183	589.1467187625044
green	0	1565437	16831	3017861	12693	17008	134012	6016	1946648	0.004188343121422684	GB21_D3_gly_dark_A_1.im_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	gly	dark	96	Picocystis triplet	Picocystis	2.76334832511327e-4	2508.359783168244	0.0011777839674600183	589.1467187625044
green	1	1225963	13110	2214850	33623	11942	99008	4468	1957431	0.01495370413609592	GB21_D3_gly_dark_A_1.im_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	gly	dark	96	Picocystis triplet	Picocystis	0.005764282033754634	120.24865828927103	0.0011777839674600183	589.1467187625044
green	0	2253804	23858	3832557	16146	14677	175770	7764	2299442	0.004195179518918451	GB21_D3_gly_dark_B_1.im_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	gly	dark	96	Picocystis triplet	Picocystis	2.7978193007975594e-4	2477.4551393020756	0.0011777839674600183	589.1467187625044
blue	0	423008	4571	738703	8964	4966	33054	1477	441644	0.011989294699378199	GB21_D3_gly_dark_B_1.im_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	gly	dark	96	Other	Other	0.004241031800612009	163.43833603415084	0.0011777839674600183	589.1467187625044
red	0	194512	2094	449774	2668	1619	33298	1455	1074555	0.005896888440949337	GB21_D3_gly_dark_C_1.im_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	gly	dark	96	Picocystis	Picocystis	0.001139311661698618	608.3911925614112	0.0011777839674600183	589.1467187625044
green	0	40120	395	220280	1581	226	3757	184	515656	0.007126083448645773	GB21_D3_gly_dark_C_1.im_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	gly	dark	96	Picocystis triplet	Picocystis	0.0017620189832495477	393.38235691515115	0.0011777839674600183	589.1467187625044
blue	0	497671	5171	2577459	36076	3493	50847	2163	5672946	0.013803526641120169	GB21_D3_gly_dark_C_1.im_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	gly	dark	96	Other	Other	0.005172165382235554	134.01489112096948	0.0011777839674600183	589.1467187625044
