	domain	phylum	class	order	family	genus	species
ASV_2797	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	ML635J-40 aquatic group	NA	NA
ASV_2798	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2799	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2800	NA	NA	NA	NA	NA	NA	NA
ASV_2801	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA
ASV_2802	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2803	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Alkalispirochaeta	NA
ASV_2804	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2805	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2806	NA	NA	NA	NA	NA	NA	NA
ASV_2807	NA	NA	NA	NA	NA	NA	NA
ASV_2808	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	ML635J-40 aquatic group	NA	NA
ASV_2809	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_2810	NA	NA	NA	NA	NA	NA	NA
ASV_2811	Bacteria	Firmicutes	NA	NA	NA	NA	NA
ASV_2812	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2813	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2814	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	NA	NA	NA
ASV_2815	Bacteria	Proteobacteria	Gammaproteobacteria	Nitrococcales	Nitrococcales Incertae Sedis	Methylonatrum	NA
ASV_2816	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_2817	NA	NA	NA	NA	NA	NA	NA
ASV_2818	Bacteria	Firmicutes	Clostridia	Clostridia vadinBB60 group	NA	NA	NA
ASV_2819	Bacteria	Verrucomicrobiota	Kiritimatiellae	WCHB1-41	NA	NA	NA
ASV_2820	NA	NA	NA	NA	NA	NA	NA
ASV_2821	NA	NA	NA	NA	NA	NA	NA
ASV_2822	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2823	Bacteria	Proteobacteria	Gammaproteobacteria	Nitrococcales	Nitrococcaceae	Spiribacter	NA
ASV_2824	NA	NA	NA	NA	NA	NA	NA
ASV_2825	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Pseudohongiellaceae	Pseudohongiella	NA
ASV_2826	Bacteria	Bacteroidota	Bacteroidia	NA	NA	NA	NA
ASV_2827	NA	NA	NA	NA	NA	NA	NA
ASV_2828	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	NA	NA	NA
ASV_2829	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfonatronovibrionaceae	NA	NA
ASV_2830	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfonatronaceae	Desulfonatronum	NA
ASV_2831	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2832	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2833	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2834	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2835	NA	NA	NA	NA	NA	NA	NA
ASV_2836	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2837	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2838	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV_2839	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2840	Bacteria	Firmicutes	Clostridia	NA	NA	NA	NA
ASV_2841	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	ML635J-40 aquatic group	NA	NA
ASV_2842	NA	NA	NA	NA	NA	NA	NA
ASV_2843	Bacteria	Firmicutes	NA	NA	NA	NA	NA
ASV_2844	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2845	NA	NA	NA	NA	NA	NA	NA
ASV_2846	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2847	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2848	NA	NA	NA	NA	NA	NA	NA
ASV_2849	NA	NA	NA	NA	NA	NA	NA
ASV_2850	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2851	NA	NA	NA	NA	NA	NA	NA
ASV_2852	Bacteria	Firmicutes	NA	NA	NA	NA	NA
ASV_2853	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2854	NA	NA	NA	NA	NA	NA	NA
ASV_2855	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_2856	NA	NA	NA	NA	NA	NA	NA
ASV_2857	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2858	NA	NA	NA	NA	NA	NA	NA
ASV_2859	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2860	NA	NA	NA	NA	NA	NA	NA
ASV_2861	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2862	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Spirochaeta 2	NA
ASV_2863	NA	NA	NA	NA	NA	NA	NA
ASV_2864	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Salinarimonas	NA
ASV_2865	NA	NA	NA	NA	NA	NA	NA
ASV_2866	Bacteria	Firmicutes	Clostridia	NA	Hungateiclostridiaceae	NA	NA
ASV_2867	Bacteria	Bacteroidota	Bacteroidia	NA	NA	NA	NA
ASV_2868	Bacteria	Firmicutes	NA	NA	NA	NA	NA
ASV_2869	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2870	NA	NA	NA	NA	NA	NA	NA
ASV_2871	Bacteria	Firmicutes	Dethiobacteria	Dethiobacterales	Dethiobacteraceae	Candidatus Contubernalis	NA
ASV_2872	Bacteria	Bacteroidota	Bacteroidia	NA	NA	NA	NA
ASV_2873	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	ML635J-40 aquatic group	NA	NA
ASV_2874	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	NA	NA	NA
ASV_2875	NA	NA	NA	NA	NA	NA	NA
ASV_2876	NA	NA	NA	NA	NA	NA	NA
ASV_2877	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	NA	NA
ASV_2878	Bacteria	Planctomycetota	Phycisphaerae	MSBL9	SM23-30	NA	NA
ASV_2879	NA	NA	NA	NA	NA	NA	NA
ASV_2880	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NA	NA
ASV_2881	Bacteria	Bacteroidota	NA	NA	NA	NA	NA
ASV_2882	NA	NA	NA	NA	NA	NA	NA
ASV_2883	Bacteria	Bacteroidota	Bacteroidia	Bacteroidetes VC2.1 Bac22	NA	NA	NA
ASV_2884	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2885	Bacteria	Firmicutes	Clostridia	Monoglobales	Monoglobaceae	Monoglobus	NA
ASV_2886	Bacteria	Bacteroidota	Ignavibacteria	Ignavibacteriales	LD-RB-34	NA	NA
ASV_2887	Bacteria	Chloroflexi	Dehalococcoidia	MSBL5	NA	NA	NA
ASV_2888	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2889	NA	NA	NA	NA	NA	NA	NA
ASV_2890	Bacteria	Nitrospinota	P9X2b3D02	NA	NA	NA	NA
ASV_2891	NA	NA	NA	NA	NA	NA	NA
ASV_2892	Bacteria	Myxococcota	Polyangia	NA	NA	NA	NA
ASV_2893	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2894	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2895	Bacteria	Firmicutes	Dethiobacteria	Dethiobacterales	Dethiobacteraceae	Dethiobacter	NA
ASV_2896	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_2897	Bacteria	Firmicutes	NA	NA	NA	NA	NA
ASV_2898	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	ML635J-40 aquatic group	NA	NA
ASV_2899	NA	NA	NA	NA	NA	NA	NA
ASV_2900	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	ML635J-40 aquatic group	NA	NA
ASV_2901	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	ML635J-40 aquatic group	NA	NA
ASV_2902	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2903	NA	NA	NA	NA	NA	NA	NA
ASV_2904	NA	NA	NA	NA	NA	NA	NA
ASV_2905	NA	NA	NA	NA	NA	NA	NA
ASV_2906	NA	NA	NA	NA	NA	NA	NA
ASV_2907	Bacteria	Proteobacteria	Gammaproteobacteria	Thiomicrospirales	Thiomicrospiraceae	NA	NA
ASV_2908	Bacteria	Bacteroidota	Rhodothermia	Balneolales	Balneolaceae	NA	NA
ASV_2909	NA	NA	NA	NA	NA	NA	NA
ASV_2910	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Alkalispirochaeta	NA
ASV_2911	NA	NA	NA	NA	NA	NA	NA
ASV_2912	NA	NA	NA	NA	NA	NA	NA
ASV_2913	NA	NA	NA	NA	NA	NA	NA
ASV_2914	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2915	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2916	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	NA	Gottschalkia	NA
ASV_2917	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2918	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2919	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	NA	NA	NA
ASV_2920	NA	NA	NA	NA	NA	NA	NA
ASV_2921	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2922	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2923	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2924	Bacteria	Firmicutes	NA	NA	NA	NA	NA
ASV_2925	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2926	NA	NA	NA	NA	NA	NA	NA
ASV_2927	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2928	NA	NA	NA	NA	NA	NA	NA
ASV_2929	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Aureimonas	NA
ASV_2930	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NA	NA
ASV_2931	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2932	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2933	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosopumilus	NA
ASV_2934	NA	NA	NA	NA	NA	NA	NA
ASV_2935	NA	NA	NA	NA	NA	NA	NA
ASV_2936	Bacteria	Bacteroidota	Bacteroidia	NA	NA	NA	NA
ASV_2937	NA	NA	NA	NA	NA	NA	NA
ASV_2938	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2939	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_2940	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2941	NA	NA	NA	NA	NA	NA	NA
ASV_2942	Bacteria	Bacteroidota	Rhodothermia	Balneolales	Balneolaceae	NA	NA
ASV_2943	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2944	Bacteria	Bacteroidota	Rhodothermia	Balneolales	Balneolaceae	NA	NA
ASV_2945	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2946	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV_2947	NA	NA	NA	NA	NA	NA	NA
ASV_2948	Bacteria	Bacteroidota	Bacteroidia	ML602M-17	NA	NA	NA
ASV_2949	Bacteria	Firmicutes	Bacilli	Izemoplasmatales	Izemoplasmataceae	Izimaplasma	NA
ASV_2950	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	NA
ASV_2951	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	NA	JTB215	NA
ASV_2952	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2953	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rhodopirellula	NA
ASV_2954	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2955	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	NA	NA
ASV_2956	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_2957	NA	NA	NA	NA	NA	NA	NA
ASV_2958	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Cyanobacteriaceae	Annamia HOs24	NA
ASV_2959	NA	NA	NA	NA	NA	NA	NA
ASV_2960	NA	NA	NA	NA	NA	NA	NA
ASV_2961	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2962	Bacteria	Bacteroidota	Bacteroidia	NA	NA	NA	NA
ASV_2963	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2964	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	NA	NA
ASV_2965	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_2966	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2967	NA	NA	NA	NA	NA	NA	NA
ASV_2968	NA	NA	NA	NA	NA	NA	NA
ASV_2969	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2970	NA	NA	NA	NA	NA	NA	NA
ASV_2971	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2972	Bacteria	Bacteroidota	Bacteroidia	NA	NA	NA	NA
ASV_2973	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
ASV_2974	NA	NA	NA	NA	NA	NA	NA
ASV_2975	NA	NA	NA	NA	NA	NA	NA
ASV_2976	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_2977	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Verruc-01	NA
ASV_2978	NA	NA	NA	NA	NA	NA	NA
ASV_2979	NA	NA	NA	NA	NA	NA	NA
ASV_2980	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2981	NA	NA	NA	NA	NA	NA	NA
ASV_2982	NA	NA	NA	NA	NA	NA	NA
ASV_2983	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2984	NA	NA	NA	NA	NA	NA	NA
ASV_2985	NA	NA	NA	NA	NA	NA	NA
ASV_2986	Bacteria	Chrysiogenetota	Chrysiogenetes	Chrysiogenales	Chrysiogenaceae	Desulfurispira	NA
ASV_2987	NA	NA	NA	NA	NA	NA	NA
ASV_2988	Bacteria	Proteobacteria	Gammaproteobacteria	Thiomicrospirales	Thiomicrospiraceae	NA	NA
ASV_2989	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	NA	Pseudobacteriovorax	NA
ASV_2990	NA	NA	NA	NA	NA	NA	NA
ASV_2991	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Alcaligenaceae	GKS98 freshwater group	NA
ASV_2992	Bacteria	Proteobacteria	Gammaproteobacteria	Ectothiorhodospirales	Ectothiorhodospiraceae	Ectothiorhodospira	NA
ASV_2993	Bacteria	Proteobacteria	Gammaproteobacteria	Nitrococcales	Nitrococcales Incertae Sedis	Methylonatrum	NA
ASV_2994	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA
ASV_2995	Bacteria	Firmicutes	Clostridia	Proteinivoracales	NA	Anaerobranca	NA
ASV_2996	NA	NA	NA	NA	NA	NA	NA
ASV_2997	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_2998	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA	NA
ASV_2999	Bacteria	NA	NA	NA	NA	NA	NA
ASV_3000	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_3001	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_3002	NA	NA	NA	NA	NA	NA	NA
ASV_3003	Bacteria	NA	NA	NA	NA	NA	NA
ASV_3004	NA	NA	NA	NA	NA	NA	NA
ASV_3005	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA
ASV_3006	NA	NA	NA	NA	NA	NA	NA
ASV_3007	NA	NA	NA	NA	NA	NA	NA
ASV_3008	Bacteria	NA	NA	NA	NA	NA	NA
ASV_3009	NA	NA	NA	NA	NA	NA	NA
ASV_3010	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobaculum	NA
ASV_3011	Bacteria	NA	NA	NA	NA	NA	NA
ASV_3012	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_3013	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA
ASV_3014	NA	NA	NA	NA	NA	NA	NA
ASV_3015	Bacteria	NA	NA	NA	NA	NA	NA
ASV_3016	NA	NA	NA	NA	NA	NA	NA
ASV_3017	Bacteria	Verrucomicrobiota	Kiritimatiellae	WCHB1-41	NA	NA	NA
ASV_3018	Bacteria	Firmicutes	Bacilli	NA	NA	NA	NA
ASV_3019	Bacteria	NA	NA	NA	NA	NA	NA
ASV_3020	Bacteria	NA	NA	NA	NA	NA	NA
ASV_3021	Bacteria	Firmicutes	NA	NA	NA	NA	NA
ASV_3022	NA	NA	NA	NA	NA	NA	NA
ASV_3023	Bacteria	Firmicutes	Bacilli	NA	NA	NA	NA
ASV_3024	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	NA	NA
ASV_3025	Bacteria	NA	NA	NA	NA	NA	NA
ASV_3026	NA	NA	NA	NA	NA	NA	NA
ASV_3027	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Alkalispirochaeta	NA
ASV_3028	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_3029	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	ML635J-40 aquatic group	NA	NA
ASV_3030	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_3031	Bacteria	NA	NA	NA	NA	NA	NA
ASV_3032	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA
ASV_3033	NA	NA	NA	NA	NA	NA	NA
ASV_3034	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_3035	NA	NA	NA	NA	NA	NA	NA
ASV_3036	Bacteria	NA	NA	NA	NA	NA	NA
ASV_3037	NA	NA	NA	NA	NA	NA	NA
ASV_3038	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Cyanobacteriaceae	Cyanobacterium PCC-7202	NA
ASV_3039	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas	NA
ASV_3040	Bacteria	Firmicutes	Clostridia	NA	NA	NA	NA
ASV_3041	NA	NA	NA	NA	NA	NA	NA
ASV_3042	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	NA	NA	NA
ASV_3043	Bacteria	NA	NA	NA	NA	NA	NA
ASV_3044	Bacteria	NA	NA	NA	NA	NA	NA
ASV_3045	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	NA	NA
ASV_3046	NA	NA	NA	NA	NA	NA	NA
ASV_3047	Bacteria	Bacteroidota	Rhodothermia	Balneolales	Balneolaceae	NA	NA
ASV_3048	Bacteria	Firmicutes	NA	NA	NA	NA	NA
ASV_3049	Bacteria	NA	NA	NA	NA	NA	NA
ASV_3050	NA	NA	NA	NA	NA	NA	NA
ASV_3051	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Alkalispirochaeta	NA
ASV_3052	Bacteria	NA	NA	NA	NA	NA	NA
ASV_3053	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	Desulfobotulus	NA
ASV_3054	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Pseudohongiellaceae	Pseudohongiella	NA
ASV_3055	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	NA	Pseudobacteriovorax	NA
ASV_3056	Bacteria	NA	NA	NA	NA	NA	NA
ASV_3057	Bacteria	NA	NA	NA	NA	NA	NA
ASV_3058	NA	NA	NA	NA	NA	NA	NA
ASV_3059	Bacteria	NA	NA	NA	NA	NA	NA
ASV_3060	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	Alkalitalea	NA
ASV_3061	Bacteria	NA	NA	NA	NA	NA	NA
ASV_3062	Bacteria	NA	NA	NA	NA	NA	NA
ASV_3063	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	ML635J-40 aquatic group	NA	NA
ASV_3064	NA	NA	NA	NA	NA	NA	NA
ASV_3065	NA	NA	NA	NA	NA	NA	NA
ASV_3066	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV_3067	Bacteria	Firmicutes	NA	NA	NA	NA	NA
ASV_3068	Bacteria	NA	NA	NA	NA	NA	NA
ASV_3069	Bacteria	NA	NA	NA	NA	NA	NA
ASV_3070	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Oceanicaulis	NA
ASV_3071	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	NA	NA	NA
ASV_3072	NA	NA	NA	NA	NA	NA	NA
ASV_3073	NA	NA	NA	NA	NA	NA	NA
ASV_3074	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA
ASV_3075	Bacteria	NA	NA	NA	NA	NA	NA
ASV_3076	NA	NA	NA	NA	NA	NA	NA
ASV_3077	NA	NA	NA	NA	NA	NA	NA
ASV_3078	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	NA	NA
ASV_3079	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	Desulfobotulus	NA
ASV_3080	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Alkalispirochaeta	NA
ASV_3081	Bacteria	NA	NA	NA	NA	NA	NA
ASV_3082	NA	NA	NA	NA	NA	NA	NA
ASV_3083	Bacteria	NA	NA	NA	NA	NA	NA
ASV_3084	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA
ASV_3085	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	NA
ASV_3086	NA	NA	NA	NA	NA	NA	NA
ASV_3087	Bacteria	Firmicutes	Clostridia	NA	NA	NA	NA
ASV_3088	NA	NA	NA	NA	NA	NA	NA
ASV_3089	Bacteria	NA	NA	NA	NA	NA	NA
ASV_3090	Bacteria	Firmicutes	Bacilli	Izemoplasmatales	Izemoplasmataceae	Izimaplasma	NA
ASV_3091	Bacteria	NA	NA	NA	NA	NA	NA
ASV_3092	NA	NA	NA	NA	NA	NA	NA
ASV_3093	Bacteria	NA	NA	NA	NA	NA	NA
ASV_3094	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Spirochaeta 2	NA
ASV_3095	Bacteria	NA	NA	NA	NA	NA	NA
ASV_3096	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Kangiellaceae	Aliikangiella	NA
ASV_3097	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_3098	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV_3099	Bacteria	NA	NA	NA	NA	NA	NA
ASV_3100	Bacteria	NA	NA	NA	NA	NA	NA
ASV_3101	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas	NA
ASV_3102	NA	NA	NA	NA	NA	NA	NA
ASV_3103	Bacteria	NA	NA	NA	NA	NA	NA
ASV_3104	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Kangiellaceae	Pleionea	NA
ASV_3105	Bacteria	NA	NA	NA	NA	NA	NA
ASV_3106	Bacteria	NA	NA	NA	NA	NA	NA
ASV_3107	Bacteria	Bacteroidota	Rhodothermia	Balneolales	Balneolaceae	NA	NA
ASV_3108	Bacteria	NA	NA	NA	NA	NA	NA
ASV_3109	NA	NA	NA	NA	NA	NA	NA
ASV_3110	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
ASV_3111	Bacteria	NA	NA	NA	NA	NA	NA
ASV_3112	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Marinospirillum	NA
ASV_3113	NA	NA	NA	NA	NA	NA	NA
ASV_3114	NA	NA	NA	NA	NA	NA	NA
ASV_3115	NA	NA	NA	NA	NA	NA	NA
ASV_3116	Bacteria	NA	NA	NA	NA	NA	NA
ASV_3117	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA
ASV_3118	NA	NA	NA	NA	NA	NA	NA
ASV_3119	Bacteria	Firmicutes	Bacilli	Bacillales	NA	NA	NA
ASV_3120	NA	NA	NA	NA	NA	NA	NA
ASV_3121	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA
ASV_3122	Bacteria	NA	NA	NA	NA	NA	NA
ASV_3123	Bacteria	NA	NA	NA	NA	NA	NA
ASV_3124	Bacteria	NA	NA	NA	NA	NA	NA
ASV_3125	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NA	NA
ASV_3126	Bacteria	Desulfobacterota	NA	NA	NA	NA	NA
ASV_3127	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_3128	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_3129	NA	NA	NA	NA	NA	NA	NA
ASV_3130	NA	NA	NA	NA	NA	NA	NA
ASV_3131	Bacteria	Firmicutes	Bacilli	NA	NA	NA	NA
ASV_3132	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
ASV_3133	NA	NA	NA	NA	NA	NA	NA
ASV_3134	NA	NA	NA	NA	NA	NA	NA
ASV_3135	NA	NA	NA	NA	NA	NA	NA
ASV_3136	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	NA	NA	NA
ASV_3137	NA	NA	NA	NA	NA	NA	NA
ASV_3138	NA	NA	NA	NA	NA	NA	NA
ASV_3139	Bacteria	NA	NA	NA	NA	NA	NA
ASV_3140	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	NA	Pseudobacteriovorax	NA
ASV_3141	Bacteria	NA	NA	NA	NA	NA	NA
ASV_3142	NA	NA	NA	NA	NA	NA	NA
ASV_3143	NA	NA	NA	NA	NA	NA	NA
ASV_3144	NA	NA	NA	NA	NA	NA	NA
ASV_3145	NA	NA	NA	NA	NA	NA	NA
ASV_3146	NA	NA	NA	NA	NA	NA	NA
ASV_3147	Bacteria	Bacteroidota	Rhodothermia	Balneolales	Balneolaceae	NA	NA
ASV_3148	Bacteria	Bacteroidota	Rhodothermia	Balneolales	Balneolaceae	NA	NA
ASV_3149	Bacteria	NA	NA	NA	NA	NA	NA
ASV_3150	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	NA	NA	NA
ASV_3151	Bacteria	NA	NA	NA	NA	NA	NA
ASV_3152	Bacteria	Firmicutes	NA	NA	NA	NA	NA
ASV_3153	Bacteria	Caldatribacteriota	JS1	NA	NA	NA	NA
ASV_3154	Bacteria	NA	NA	NA	NA	NA	NA
ASV_3155	NA	NA	NA	NA	NA	NA	NA
ASV_3156	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	E6aC02	NA	NA
